200. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 10c4b9a4b1c025c55bde046af838f2803ce432fd
201. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 07def170f73a71e0af8c2948c1030760121deb74
202. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9d6573276c38c183a90f4828d4ec52f1a0fb9cd2
203. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 93049b5fd00927950818b9be8417bca83ec0e5a0
204. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d58a3f102c40abd35962643237eb21684ab32796
205. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 42045c68f612c7da7dd25a380421623ab292df81
206. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 756336d81ce7552a9fd7bb9e4d85842caa5a3efa
207. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2c4efd316d9ae7934d62842667a3f8f8e904c2f6
208. OPCODE: GU_CHAR_TARGET_CHANGED, LENGTH: 10, sha1: b91d4efd5e8ac658e6f6e17829f207d4a32d3d3d
209. OPCODE: GU_UPDATE_CHAR_LP_EP, LENGTH: 22, sha1: 261d2d33fbcbaa8125375d338ec7fe27e35de723
210. OPCODE: GU_CHAR_FIGHTMODE, LENGTH: 7, sha1: b010ee8f099cc16e8187c4945c103f20fd9bc690
